,id,cox,molecularFormula,Zodiac_Score
138,3267_1907_EMPv2_SIRIUS_10627,-1.0,C32H58N6O4,0.9944723618090452
139,6038_1907_EMPv2_SIRIUS_15225,-0.56,C25H38O12,1.0
140,27216_1907_EMPv2_SIRIUS_21998,-1.2857142857142858,C42H68O7,0.032160804020100506
141,6633_1907_EMPv2_SIRIUS_45938,0.25,C8H13N4O4P,0.7356783919597991
142,20360_1907_EMPv2_SIRIUS_21745,0.9411764705882353,C17H20N8O6,0.03467336683417086
143,17711_1907_EMPv2_SIRIUS_45465,-1.3846153846153846,C26H52NO9P,1.0
144,19313_1907_EMPv2_SIRIUS_52387,-1.0769230769230769,C26H43NO5S,1.0
145,19593_1907_EMPv2_SIRIUS_52743,0.8571428571428571,C14H21N9O3,0.052261306532663324
146,36822_1907_EMPv2_SIRIUS_50391,-0.5384615384615384,C26H40O13,0.9974874371859296
147,37088_1907_EMPv2_SIRIUS_42846,2.5714285714285716,C7H11N5O5S2,0.4793969849246231
148,23799_1907_EMPv2_SIRIUS_30993,-1.2307692307692308,C26H50NO10P,0.9758793969849248
149,18605_1907_EMPv2_SIRIUS_29,-1.0454545454545454,C44H58N2O3,0.8180904522613066
150,2462_1907_EMPv2_SIRIUS_21583,-1.1724137931034482,C29H57N5O4,1.0
151,12764_1907_EMPv2_SIRIUS_57866,-0.8148148148148148,C27H49N5O6,0.04371859296482413
152,11445_1907_EMPv2_SIRIUS_53915,-0.7096774193548387,C31H48N2O10,0.01256281407035176
153,11346_1907_EMPv2_SIRIUS_42591,0.16216216216216217,C37H28O17,0.20150753768844226
154,20093_1907_EMPv2_SIRIUS_51805,-0.7096774193548387,C31H50N4O6S2,0.0135678391959799
155,21177_1907_EMPv2_SIRIUS_33566,-1.7272727272727273,C22H48NO6P,1.0
156,30533_1907_EMPv2_SIRIUS_43415,0.625,C16H24N4O16P2,0.011055276381909548
157,28526_1907_EMPv2_SIRIUS_12230,-0.8095238095238095,C42H57N5O4,0.035678391959798994
158,22950_1907_EMPv2_SIRIUS_42821,2.5714285714285716,C7H11N5O5S2,0.02010050251256281
159,31341_1907_EMPv2_SIRIUS_22686,-0.3076923076923077,C26H41N9O3,0.10351758793969852
160,49470_1907_EMPv2_SIRIUS_51129,-0.875,C32H51N3O5S2,0.8165829145728642
161,15261_1907_EMPv2_SIRIUS_10494,-1.0,C32H58N6O4,0.01055276381909548
162,296_1907_EMPv2_SIRIUS_16627,-0.7894736842105263,C38H60N4O9,0.023618090452261303
163,15983_1907_EMPv2_SIRIUS_35085,-1.0769230769230769,C26H43NO5S,1.0
164,2495_1907_EMPv2_SIRIUS_50455,-0.5384615384615384,C26H40O13,0.10954773869346733
165,28931_1907_EMPv2_SIRIUS_13731,-0.9473684210526315,C38H62N2O10,0.026633165829145728
166,42879_1907_EMPv2_SIRIUS_39927,-1.1818181818181819,C22H45NO8,0.6959798994974873
167,16615_1907_EMPv2_SIRIUS_55329,-1.2,C30H59N5O4,1.0
168,44219_1907_EMPv2_SIRIUS_55043,-1.1724137931034482,C29H57N5O4,1.0
169,10443_1907_EMPv2_SIRIUS_19716,-1.2307692307692308,C26H50NO10P,0.9879396984924624
170,13494_1907_EMPv2_SIRIUS_25216,-0.375,C16H30O12,0.9949748743718592
171,45256_1907_EMPv2_SIRIUS_56063,0.0,C26H40N8O8,0.08040201005025127
172,22679_1907_EMPv2_SIRIUS_31267,0.2,C10H19NO8S,0.22864321608040197
173,39527_1907_EMPv2_SIRIUS_26339,-1.4193548387096775,C31H57O9P,0.8994974874371859
174,23665_1907_EMPv2_SIRIUS_57841,-1.25,C48H70O5,0.010050251256281407
175,51425_1907_EMPv2_SIRIUS_45514,-0.9230769230769231,C26H50N4O7,0.9969849246231156
176,7529_1907_EMPv2_SIRIUS_57789,-1.1428571428571428,C28H55N5O4,1.0
177,38896_1907_EMPv2_SIRIUS_28970,-0.37037037037037035,C27H50N8O8,0.052763819095477386
178,48511_1907_EMPv2_SIRIUS_46964,-0.967741935483871,C31H59N5O7,0.01507537688442211
179,7697_1907_EMPv2_SIRIUS_14820,-1.1428571428571428,C28H48O7S,0.01055276381909548
180,2554_1907_EMPv2_SIRIUS_55800,-0.5714285714285714,C28H42O13,1.0
